Name,Created,Type
What do I do on Stage for each release?,"March 3, 2022 9:31 AM",Checklist
What do I do on PreProd for each release,"March 3, 2022 9:31 AM",Checklist
What do I do on Prod for each release,"September 14, 2022 8:59 AM",Checklist
GTSD request new user,"March 4, 2022 2:12 PM",How to
"GTSD Report an issue with Avallain Author ","March 4, 2022 2:12 PM",How to
GTSD request something for Author,"March 4, 2022 2:12 PM",How to
Technical docs links,"March 7, 2022 11:18 AM",Bookmarks
Avallain over-view,"May 19, 2022 2:12 PM",Info
Code quality evaluation,"May 25, 2022 3:19 PM",Info
Raising bugs,"May 30, 2022 9:06 AM",How to
Icon sprite sheet creation,"October 27, 2022 10:08 AM",How to
CORE design pack Q&A with Avallain,"September 20, 2022 9:30 PM",Info
Create a design pack,"November 18, 2022 8:53 AM",How to
Valid Tag names,"January 4, 2023 4:03 PM",Info
LO external communication jschannel,"October 9, 2023 11:02 AM",
Repros,"October 9, 2023 11:50 AM",
Avallain Author designpack compiler setup,"January 4, 2023 4:05 PM",How to
Virginias email about PK setup,"January 4, 2023 4:08 PM",Info
GTSD meeting notes,"January 4, 2023 4:12 PM",Info
Show or hide incorrect answers during show answers.,"January 4, 2023 4:23 PM",How to
Design pack LESS structure,"February 23, 2023 4:17 PM",
Designpack viewer,"September 8, 2023 4:36 PM",
Mark LO as completed,"January 11, 2024 9:26 AM",
Font loader,"January 11, 2024 1:41 PM",